decision_id	authority	planned_checkpoint
EQM-001	docs/specification/naming-and-no-compat.md	step_003
EQM-002	docs/specification/naming-and-no-compat.md	step_005
EQM-003	docs/specification/schema-inventory.md	step_010
EQM-004	docs/specification/architecture.md	step_003
EQM-005	docs/specification/manifest-contracts.md	step_081
EQM-006	docs/specification/manifest-contracts.md	step_043
EQM-007	docs/specification/architecture.md	step_003
EQM-008	docs/specification/schema-inventory.md	step_034
EQM-009	docs/specification/schema-inventory.md	step_041
EQM-010	docs/specification/schema-inventory.md	step_045
EQM-011	docs/specification/product.md	step_120
EQM-012	docs/specification/product.md	step_121
EQM-013	docs/specification/product.md	step_134
EQM-014	docs/specification/evaluation.md	step_070
EQM-015	docs/specification/evaluation.md	step_069
EQM-016	docs/specification/product.md	step_019
EQM-017	docs/specification/manifest-contracts.md	step_059
EQM-018	docs/specification/manifest-contracts.md	step_024
EQM-019	docs/specification/manifest-contracts.md	step_047
EQM-020	docs/specification/evaluation.md	step_063
EQM-021	docs/specification/manifest-contracts.md	step_022
EQM-022	docs/specification/vocabularies.md	step_058
EQM-023	docs/specification/vocabularies.md	step_011
EQM-024	docs/specification/vocabularies.md	step_011
EQM-025	docs/specification/vocabularies.md	step_042
EQM-026	docs/specification/security-and-limits.md	step_012
EQM-027	docs/specification/security-and-limits.md	step_044
EQM-028	docs/specification/manifest-contracts.md	step_042
EQM-029	docs/specification/schema-inventory.md	step_041
EQM-030	docs/specification/schema-inventory.md	step_045
EQM-031	docs/specification/schema-inventory.md	step_044
EQM-032	docs/specification/manifest-contracts.md	step_051
EQM-033	docs/specification/manifest-contracts.md	step_045
EQM-034	docs/specification/vocabularies.md	step_014
EQM-035	docs/specification/canonicalization.md	step_054
EQM-036	docs/specification/canonicalization.md	step_052
EQM-037	docs/specification/vocabularies.md	step_016
EQM-038	docs/specification/evaluation.md	step_063
EQM-039	docs/specification/evaluation.md	step_060
EQM-040	docs/specification/canonicalization.md	step_052
EQM-041	docs/specification/manifest-contracts.md	step_059
EQM-042	docs/specification/evaluation.md	step_061
EQM-043	docs/specification/security-and-limits.md	step_062
EQM-044	docs/specification/evaluation.md	step_062
EQM-045	docs/specification/evaluation.md	step_061
EQM-046	docs/specification/vocabularies.md	step_063
EQM-047	docs/specification/evaluation.md	step_069
EQM-048	docs/specification/evaluation.md	step_068
EQM-049	docs/specification/evaluation.md	step_065
EQM-050	docs/specification/vocabularies.md	step_037
EQM-051	docs/specification/evaluation.md	step_065
EQM-052	docs/specification/evaluation.md	step_067
EQM-053	docs/specification/evaluation.md	step_067
EQM-054	docs/specification/security-and-limits.md	step_066
EQM-055	docs/specification/evaluation.md	step_066
EQM-056	docs/specification/evaluation.md	step_066
EQM-057	docs/specification/evaluation.md	step_066
EQM-058	docs/specification/protocol.md	step_081
EQM-059	docs/specification/protocol.md	step_105
EQM-060	docs/specification/security-and-limits.md	step_083
EQM-061	docs/specification/security-and-limits.md	step_047
EQM-062	docs/specification/security-and-limits.md	step_077
EQM-063	docs/specification/security-and-limits.md	step_078
EQM-064	docs/specification/vocabularies.md	step_077
EQM-065	docs/specification/security-and-limits.md	step_079
EQM-066	docs/specification/security-and-limits.md	step_082
EQM-067	docs/specification/security-and-limits.md	step_079
EQM-068	docs/specification/security-and-limits.md	step_084
EQM-069	docs/specification/protocol.md	step_080
EQM-070	docs/specification/security-and-limits.md	step_085
EQM-071	docs/specification/manifest-contracts.md	step_051
EQM-072	docs/specification/protocol.md	step_085
EQM-073	docs/specification/protocol.md	step_088
EQM-074	docs/specification/evaluation.md	step_086
EQM-075	docs/specification/evaluation.md	step_071
EQM-076	docs/specification/security-and-limits.md	step_086
EQM-077	docs/specification/protocol.md	step_086
EQM-078	docs/specification/evaluation.md	step_071
EQM-079	docs/specification/security-and-limits.md	step_072
